CMDLINE c:\users\marcob\appdata\local\continuum\anaconda3\envs\drlnd\python.exe train_pixels.py
MEM 180.781250 1581082969.7140
MEM 173.984375 1581082969.8148
MEM 192.457031 1581082969.9150
MEM 192.207031 1581082970.0157
MEM 173.726562 1581082970.1164
MEM 191.234375 1581082970.2171
MEM 194.578125 1581082970.3179
MEM 174.746094 1581082970.4186
MEM 201.078125 1581082970.5193
MEM 196.937500 1581082970.6201
MEM 175.734375 1581082970.7208
MEM 184.648438 1581082970.8216
MEM 195.332031 1581082970.9228
MEM 176.265625 1581082971.0231
MEM 194.500000 1581082971.1233
MEM 184.765625 1581082971.2236
MEM 177.476562 1581082971.3243
MEM 197.964844 1581082971.4250
MEM 184.339844 1581082971.5258
MEM 178.050781 1581082971.6260
MEM 185.398438 1581082971.7268
MEM 179.628906 1581082971.8275
MEM 180.375000 1581082971.9277
MEM 192.160156 1581082972.0285
MEM 184.316406 1581082972.1292
MEM 178.519531 1581082972.2300
MEM 197.750000 1581082972.3304
MEM 188.554688 1581082972.4311
MEM 181.343750 1581082972.5319
MEM 198.984375 1581082972.6326
MEM 188.843750 1581082972.7333
MEM 181.562500 1581082972.8341
MEM 201.207031 1581082972.9342
MEM 203.304688 1581082973.0349
MEM 182.449219 1581082973.1352
MEM 201.867188 1581082973.2364
MEM 199.542969 1581082973.3382
MEM 183.171875 1581082973.4389
MEM 183.437500 1581082973.5406
MEM 194.300781 1581082973.6424
MEM 203.710938 1581082973.7431
MEM 183.929688 1581082973.8438
MEM 195.128906 1581082973.9445
MEM 197.835938 1581082974.0453
MEM 185.128906 1581082974.1455
MEM 196.917969 1581082974.2473
MEM 192.945312 1581082974.3480
MEM 185.687500 1581082974.4487
MEM 203.019531 1581082974.5494
MEM 193.410156 1581082974.6503
MEM 186.859375 1581082974.7505
MEM 206.054688 1581082974.8508
MEM 194.648438 1581082974.9517
MEM 187.410156 1581082975.0520
MEM 208.128906 1581082975.1522
MEM 188.304688 1581082975.2529
MEM 189.023438 1581082975.3537
MEM 196.804688 1581082975.4544
MEM 188.632812 1581082975.5551
MEM 192.199219 1581082975.6559
MEM 204.523438 1581082975.7566
MEM 190.046875 1581082975.8573
MEM 195.730469 1581082975.9581
MEM 209.550781 1581082976.0586
MEM 190.445312 1581082976.1593
MEM 197.390625 1581082976.2600
MEM 210.621094 1581082976.3608
MEM 192.691406 1581082976.4615
MEM 197.886719 1581082976.5618
MEM 212.964844 1581082976.6620
MEM 193.578125 1581082976.7623
MEM 202.617188 1581082976.8625
MEM 200.851562 1581082976.9633
MEM 195.171875 1581082977.0640
MEM 207.203125 1581082977.1647
MEM 209.238281 1581082977.2654
MEM 196.007812 1581082977.3662
MEM 204.257812 1581082977.4669
MEM 211.347656 1581082977.5676
MEM 202.875000 1581082977.6684
MEM 196.359375 1581082977.7702
MEM 206.179688 1581082977.8705
MEM 215.917969 1581082977.9712
MEM 197.105469 1581082978.0719
MEM 213.546875 1581082978.1727
MEM 204.656250 1581082978.2734
MEM 198.601562 1581082978.3741
MEM 216.859375 1581082978.4748
MEM 205.078125 1581082978.5756
MEM 198.558594 1581082978.6758
MEM 216.902344 1581082978.7761
MEM 206.457031 1581082978.8769
MEM 200.144531 1581082978.9771
MEM 216.433594 1581082979.0774
MEM 207.011719 1581082979.1781
MEM 200.453125 1581082979.2788
MEM 220.519531 1581082979.3796
MEM 208.195312 1581082979.4803
MEM 201.937500 1581082979.5810
MEM 217.410156 1581082979.6817
MEM 202.597656 1581082979.7825
MEM 202.839844 1581082979.8827
MEM 213.414062 1581082979.9835
MEM 204.226562 1581082980.0842
MEM 203.652344 1581082980.1849
MEM 222.648438 1581082980.2857
MEM 210.730469 1581082980.3864
MEM 204.218750 1581082980.4871
MEM 223.871094 1581082980.5879
MEM 211.769531 1581082980.6886
MEM 205.242188 1581082980.7893
MEM 221.390625 1581082980.8896
MEM 205.917969 1581082980.9903
MEM 206.835938 1581082981.0910
MEM 219.257812 1581082981.1918
MEM 207.070312 1581082981.2925
MEM 210.687500 1581082981.3932
MEM 224.593750 1581082981.4940
MEM 208.007812 1581082981.5947
MEM 208.445312 1581082981.6949
MEM 219.679688 1581082981.7957
MEM 208.003906 1581082981.8964
MEM 208.503906 1581082981.9972
MEM 219.472656 1581082982.0972
MEM 209.265625 1581082982.1980
MEM 209.832031 1581082982.2987
MEM 216.769531 1581082982.3994
MEM 210.933594 1581082982.5002
MEM 211.441406 1581082982.6009
MEM 227.187500 1581082982.7016
MEM 211.980469 1581082982.8029
MEM 212.664062 1581082982.9031
MEM 230.707031 1581082983.0041
MEM 219.992188 1581082983.1053
MEM 211.917969 1581082983.2056
MEM 232.234375 1581082983.3063
MEM 235.441406 1581082983.4071
MEM 213.511719 1581082983.5073
MEM 231.429688 1581082983.6080
MEM 233.570312 1581082983.7088
MEM 214.320312 1581082983.8095
MEM 214.597656 1581082983.9102
MEM 228.328125 1581082984.0110
MEM 215.222656 1581082984.1117
MEM 218.445312 1581082984.2124
MEM 237.437500 1581082984.3131
MEM 217.367188 1581082984.4133
MEM 223.644531 1581082984.5141
MEM 230.382812 1581082984.6143
MEM 218.019531 1581082984.7150
MEM 228.496094 1581082984.8153
MEM 235.035156 1581082984.9154
MEM 219.121094 1581082985.0161
MEM 232.484375 1581082985.1169
MEM 238.210938 1581082985.2169
MEM 218.839844 1581082985.3178
MEM 240.113281 1581082985.4181
MEM 240.679688 1581082985.5189
MEM 220.011719 1581082985.6191
MEM 237.726562 1581082985.7194
MEM 241.679688 1581082985.8201
MEM 219.468750 1581082985.9208
MEM 234.820312 1581082986.0216
MEM 229.652344 1581082986.1223
MEM 222.785156 1581082986.2230
MEM 243.695312 1581082986.3233
MEM 230.585938 1581082986.4240
MEM 223.687500 1581082986.5248
MEM 241.097656 1581082986.6255
MEM 228.339844 1581082986.7262
MEM 222.300781 1581082986.8269
MEM 241.449219 1581082986.9297
MEM 242.968750 1581082987.0304
MEM 223.078125 1581082987.1312
MEM 242.074219 1581082987.2319
MEM 248.480469 1581082987.3327
MEM 225.449219 1581082987.4334
MEM 235.296875 1581082987.5341
MEM 244.855469 1581082987.6349
MEM 225.070312 1581082987.7356
MEM 243.664062 1581082987.8363
MEM 248.871094 1581082987.9370
MEM 226.941406 1581082988.0378
MEM 239.121094 1581082988.1385
MEM 248.632812 1581082988.2392
MEM 227.105469 1581082988.3400
MEM 245.402344 1581082988.4403
MEM 250.812500 1581082988.5410
MEM 228.871094 1581082988.6417
MEM 234.832031 1581082988.7424
MEM 250.335938 1581082988.8427
MEM 229.261719 1581082988.9435
MEM 243.140625 1581082989.0437
MEM 238.589844 1581082989.1444
MEM 231.757812 1581082989.2457
MEM 253.398438 1581082989.3459
MEM 239.746094 1581082989.4467
MEM 232.910156 1581082989.5474
MEM 238.761719 1581082989.6481
MEM 232.597656 1581082989.7489
MEM 234.550781 1581082989.8496
MEM 254.550781 1581082989.9504
MEM 234.363281 1581082990.0512
MEM 240.636719 1581082990.1519
MEM 248.554688 1581082990.2526
MEM 235.230469 1581082990.3533
MEM 245.265625 1581082990.4541
MEM 253.128906 1581082990.5548
MEM 235.894531 1581082990.6555
MEM 255.832031 1581082990.7563
MEM 257.656250 1581082990.8570
MEM 237.125000 1581082990.9573
MEM 260.425781 1581082991.0585
MEM 259.804688 1581082991.1592
MEM 237.984375 1581082991.2600
MEM 244.687500 1581082991.3607
MEM 255.328125 1581082991.4614
MEM 235.632812 1581082991.5622
MEM 260.085938 1581082991.6629
MEM 247.605469 1581082991.7636
MEM 239.644531 1581082991.8643
MEM 257.089844 1581082991.9646
MEM 244.921875 1581082992.0653
MEM 238.476562 1581082992.1661
MEM 252.921875 1581082992.2668
MEM 242.460938 1581082992.3686
MEM 243.695312 1581082992.4688
MEM 264.863281 1581082992.5697
MEM 242.019531 1581082992.6700
MEM 249.496094 1581082992.7702
MEM 252.421875 1581082992.8705
MEM 243.109375 1581082992.9712
MEM 258.429688 1581082993.0720
MEM 265.335938 1581082993.1727
MEM 243.769531 1581082993.2734
MEM 263.234375 1581082993.3741
MEM 265.531250 1581082993.4749
MEM 244.859375 1581082993.5756
MEM 261.265625 1581082993.6763
MEM 266.007812 1581082993.7771
MEM 245.539062 1581082993.8773
MEM 265.980469 1581082993.9776
MEM 253.500000 1581082994.0783
MEM 246.601562 1581082994.1790
MEM 257.437500 1581082994.2798
MEM 243.738281 1581082994.3801
MEM 245.511719 1581082994.4809
MEM 260.183594 1581082994.5811
MEM 248.285156 1581082994.6820
MEM 250.660156 1581082994.7823
MEM 265.468750 1581082994.8831
MEM 245.789062 1581082994.9838
MEM 255.355469 1581082995.0846
MEM 256.835938 1581082995.1853
MEM 250.015625 1581082995.2860
MEM 260.632812 1581082995.3868
MEM 263.308594 1581082995.4875
MEM 247.957031 1581082995.5882
MEM 266.773438 1581082995.6890
MEM 272.328125 1581082995.7897
MEM 251.750000 1581082995.8904
MEM 274.277344 1581082995.9912
MEM 271.265625 1581082996.0919
MEM 250.359375 1581082996.1926
MEM 269.035156 1581082996.2929
MEM 276.515625 1581082996.3931
MEM 253.480469 1581082996.4934
MEM 261.808594 1581082996.5936
MEM 269.660156 1581082996.6944
MEM 252.332031 1581082996.7951
MEM 276.769531 1581082996.8958
MEM 263.207031 1581082996.9966
MEM 256.308594 1581082997.0973
MEM 265.367188 1581082997.1976
MEM 255.109375 1581082997.2983
MEM 255.808594 1581082997.3990
MEM 269.625000 1581082997.4998
MEM 258.035156 1581082997.6001
MEM 259.976562 1581082997.7003
MEM 280.425781 1581082997.8005
MEM 258.812500 1581082997.9013
MEM 266.593750 1581082998.0020
MEM 273.433594 1581082998.1027
MEM 259.906250 1581082998.2035
MEM 274.425781 1581082998.3042
MEM 282.113281 1581082998.4049
MEM 260.382812 1581082998.5057
MEM 275.890625 1581082998.6064
MEM 278.574219 1581082998.7071
MEM 258.359375 1581082998.8078
MEM 276.742188 1581082998.9086
MEM 283.019531 1581082999.0093
MEM 262.066406 1581082999.1100
MEM 276.855469 1581082999.2103
MEM 270.054688 1581082999.3110
MEM 263.164062 1581082999.4113
MEM 278.468750 1581082999.5120
MEM 267.101562 1581082999.6127
MEM 259.910156 1581082999.7135
MEM 283.863281 1581082999.8152
MEM 286.832031 1581082999.9160
MEM 264.890625 1581083000.0167
MEM 280.226562 1581083000.1174
MEM 288.578125 1581083000.2184
MEM 265.542969 1581083000.3191
MEM 267.039062 1581083000.4199
MEM 282.597656 1581083000.5206
MEM 263.687500 1581083000.6208
MEM 281.929688 1581083000.7211
MEM 275.152344 1581083000.8213
MEM 268.253906 1581083000.9221
MEM 282.953125 1581083001.0228
MEM 289.996094 1581083001.1228
MEM 268.246094 1581083001.2236
MEM 278.273438 1581083001.3244
MEM 289.781250 1581083001.4264
MEM 278.765625 1581083001.5274
MEM 269.125000 1581083001.6276
MEM 275.242188 1581083001.7284
MEM 286.105469 1581083001.8314
MEM 292.585938 1581083001.9314
MEM 270.640625 1581083002.0324
MEM 283.097656 1581083002.1333
MEM 291.546875 1581083002.2334
MEM 292.835938 1581083002.3343
MEM 279.062500 1581083002.4403
MEM 272.160156 1581083002.5413
MEM 285.667969 1581083002.6442
